"old","new"
"ensembl_gene_id_version","ensembl_gene_id_version"
"Name","Name"
"gene_biotype","gene_biotype"
"NoGlucose.TotalRNA.LogFC","NoGlucose.TotalRNA.Log2FC"
"NoGlucose.TotalRNA.AdjPval","NoGlucose.TotalRNA.AdjPval"
"NoGlucose.TotalRNA.LogCPM","NoGlucose.TotalRNA.LogCPM"
"NoGlucose.PolyRNA.LogFC","NoGlucose.PolyRNA.Log2FC"
"NoGlucose.PolyRNA.Pval","NoGlucose.PolyRNA.AdjPval"
"NoGlucose.PolyRNA.LogCPM","NoGlucose.PolyRNA.LogCPM"
"NoGlucose.Anota2seq.Status","NoGlucose.Anota2seqStatus"
"NoGlutamine.TotalRNA.LogFC","NoGlutamine.TotalRNA.Log2FC"
"NoGlutamine.TotalRNA.AdjPval","NoGlutamine.TotalRNA.AdjPval"
"NoGlutamine.TotalRNA.LogCPM","NoGlutamine.TotalRNA.LogCPM"
"NoGlutamine.PolyRNA.LogFC","NoGlutamine.PolyRNA.Log2FC"
"NoGlutamine.PolyRNA.Pval","NoGlutamine.PolyRNA.AdjPval"
"NoGlutamine.PolyRNA.LogCPM","NoGlutamine.PolyRNA.LogCPM"
"NoGlutamine.Anota2seq.Status","NoGlutamine.Anota2seqStatus"
"NoBCAA.TotalRNA.LogFC","NoBCAA.TotalRNA.Log2FC"
"NoBCAA.TotalRNA.AdjPval","NoBCAA.TotalRNA.AdjPval"
"NoBCAA.TotalRNA.LogCPM","NoBCAA.TotalRNA.LogCPM"
"NoBCAA.PolyRNA.LogFC","NoBCAA.PolyRNA.Log2FC"
"NoBCAA.PolyRNA.Pval","NoBCAA.PolyRNA.AdjPval"
"NoBCAA.PolyRNA.LogCPM","NoBCAA.PolyRNA.LogCPM"
"NoBCAA.Anota2seq.Status","NoBCAA.Anota2seqStatus"
"NoArginine.TotalRNA.LogFC","NoArginine.TotalRNA.Log2FC"
"NoArginine.TotalRNA.AdjPval","NoArginine.TotalRNA.AdjPval"
"NoArginine.TotalRNA.LogCPM","NoArginine.TotalRNA.LogCPM"
"NoArginine.PolyRNA.LogFC","NoArginine.PolyRNA.Log2FC"
"NoArginine.PolyRNA.Pval","NoArginine.PolyRNA.AdjPval"
"NoArginine.PolyRNA.LogCPM","NoArginine.PolyRNA.LogCPM"
"NoArginine.Anota2seq.Status","NoArginine.Anota2seqStatus"
"NoMethionine.TotalRNA.LogFC","NoMethionine.TotalRNA.Log2FC"
"NoMethionine.TotalRNA.AdjPval","NoMethionine.TotalRNA.AdjPval"
"NoMethionine.TotalRNA.LogCPM","NoMethionine.TotalRNA.LogCPM"
"NoMethionine.PolyRNA.LogFC","NoMethionine.PolyRNA.Log2FC"
"NoMethionine.PolyRNA.Pval","NoMethionine.PolyRNA.AdjPval"
"NoMethionine.PolyRNA.LogCPM","NoMethionine.PolyRNA.LogCPM"
"NoMethionine.Anota2seq.Status","NoMethionine.Anota2seqStatus"
"FourEGi1.TotalRNA.LogFC","FourEGi1.TotalRNA.Log2FC"
"FourEGi1.TotalRNA.AdjPval","FourEGi1.TotalRNA.AdjPval"
"FourEGi1.TotalRNA.LogCPM","FourEGi1.TotalRNA.LogCPM"
"FourEGi1.PolyRNA.LogFC","FourEGi1.PolyRNA.Log2FC"
"FourEGi1.PolyRNA.Pval","FourEGi1.PolyRNA.AdjPval"
"FourEGi1.PolyRNA.LogCPM","FourEGi1.PolyRNA.LogCPM"
"FourEGi1.Anota2seq.Status","FourEGi1.Anota2seqStatus"
"Halo.TotalRNA.LogFC","Halo.TotalRNA.Log2FC"
"Halo.TotalRNA.AdjPval","Halo.TotalRNA.AdjPval"
"Halo.TotalRNA.LogCPM","Halo.TotalRNA.LogCPM"
"Halo.PolyRNA.LogFC","Halo.PolyRNA.Log2FC"
"Halo.PolyRNA.Pval","Halo.PolyRNA.AdjPval"
"Halo.PolyRNA.LogCPM","Halo.PolyRNA.LogCPM"
"Halo.Anota2seq.Status","Halo.Anota2seqStatus"
"Torin.TotalRNA.LogFC","Torin.TotalRNA.Log2FC"
"Torin.TotalRNA.AdjPval","Torin.TotalRNA.AdjPval"
"Torin.TotalRNA.LogCPM","Torin.TotalRNA.LogCPM"
"Torin.PolyRNA.LogFC","Torin.PolyRNA.Log2FC"
"Torin.PolyRNA.Pval","Torin.PolyRNA.AdjPval"
"Torin.PolyRNA.LogCPM","Torin.PolyRNA.LogCPM"
"Torin.Anota2seq.Status","Torin.Anota2seqStatus"
"Protein_EGi1.logFC","FourEGi1.Protein.Log2FC"
"Protein_EGi1.pval","FourEGi1.Protein.AdjPval"
"Protein_Halofuginone.logFC","Halo.Protein.Log2FC"
"Protein_Halofuginone.pval","Halo.Protein.AdjPval"
"Protein_NoArginine.logFC","NoArginine.Protein.Log2FC"
"Protein_NoArginine.pval","NoArginine.Protein.AdjPval"
"Protein_NoBCAA.logFC","NoBCAA.Protein.Log2FC"
"Protein_NoBCAA.pval","NoBCAA.Protein.AdjPval"
"Protein_NoGlucose.logFC","NoGlucose.Protein.Log2FC"
"Protein_NoGlucose.pval","NoGlucose.Protein.AdjPval"
"Protein_NoGlutamine.logFC","NoGlutamine.Protein.Log2FC"
"Protein_NoGlutamine.pval","NoGlutamine.Protein.AdjPval"
"Protein_NoMethionine.logFC","NoMethionine.Protein.Log2FC"
"Protein_NoMethionine.pval","NoMethionine.Protein.AdjPval"
"Protein_S6Ki.logFC","S6Ki.Protein.Log2FC"
"Protein_S6Ki.pval","S6Ki.Protein.AdjPval"
"Protein_Torin.logFC","Torin.Protein.Log2FC"
"Protein_Torin.pval","Torin.Protein.AdjPval"
"treated.vs.untreated.atf4_logFC","Halo-vs-DMSO.ATF4.Log2FC"
"treated.vs.untreated.atf4_logCPM","Halo-vs-DMSO.ATF4.LogCPM"
"treated.vs.untreated.atf4_adjusted.pvalue","Halo-vs-DMSO.ATF4.AdjPval"
"treated.vs.untreated.cebpg_logFC","Halo-vs-DMSO.CEBPG.Log2FC"
"treated.vs.untreated.cebpg_logCPM","Halo-vs-DMSO.CEBPG.LogCPM"
"treated.vs.untreated.cebpg_adjusted.pvalue","Halo-vs-DMSO.CEBPG.AdjPval"
"treated.vs.untreated.rosa26_logFC","Halo-vs-DMSO.Rosa26.Log2FC"
"treated.vs.untreated.rosa26_logCPM","Halo-vs-DMSO.Rosa26.LogCPM"
"treated.vs.untreated.rosa26_adjusted.pvalue","Halo-vs-DMSO.Rosa26.AdjPval"
"untreated.atf4.vs.rosa26_logFC","DMSO.ATF4-vs-Rosa26.Log2FC"
"untreated.atf4.vs.rosa26_logCPM","DMSO.ATF4-vs-Rosa26.LogCPM"
"untreated.atf4.vs.rosa26_adjusted.pvalue","DMSO.ATF4-vs-Rosa26.AdjPval"
"untreated.cebpg.vs.rosa26_logFC","DMSO.CEBPG-vs-Rosa26.Log2FC"
"untreated.cebpg.vs.rosa26_logCPM","DMSO.CEBPG-vs-Rosa26.LogCPM"
"untreated.cebpg.vs.rosa26_adjusted.pvalue","DMSO.CEBPG-vs-Rosa26.AdjPval"
"treated.atf4.vs.rosa26_logFC","Halo.ATF4-vs-Rosa26.Log2FC"
"treated.atf4.vs.rosa26_logCPM","Halo.ATF4-vs-Rosa26.LogCPM"
"treated.atf4.vs.rosa26_adjusted.pvalue","Halo.ATF4-vs-Rosa26.AdjPval"
"treated.cebpg.vs.rosa26_logFC","Halo.CEBPG-vs-Rosa26.Log2FC"
"treated.cebpg.vs.rosa26_logCPM","Halo.CEBPG-vs-Rosa26.LogCPM"
"treated.cebpg.vs.rosa26_adjusted.pvalue","Halo.CEBPG-vs-Rosa26.AdjPval"
"treated.vs.untreated.atf4.vs.rosa26_logFC","Halo-vs-DMSO.ATF4-vs-Rosa26.Log2FC"
"treated.vs.untreated.atf4.vs.rosa26_logCPM","Halo-vs-DMSO.ATF4-vs-Rosa26.LogCPM"
"treated.vs.untreated.atf4.vs.rosa26_adjusted.pvalue","Halo-vs-DMSO.ATF4-vs-Rosa26.AdjPval"
"treated.vs.untreated.cebpg.vs.rosa26_logFC","Halo-vs-DMSO.CEBPG-vs-Rosa26.Log2FC"
"treated.vs.untreated.cebpg.vs.rosa26_logCPM","Halo-vs-DMSO.CEBPG-vs-Rosa26.LogCPM"
"treated.vs.untreated.cebpg.vs.rosa26_adjusted.pvalue","Halo-vs-DMSO.CEBPG-vs-Rosa26.AdjPval"
"01-Input-Control-Rep1.raw_counts","TotalRNA.Control.Rep1.rawCounts"
"02-Input-NoGlucose-Rep1.raw_counts","TotalRNA.NoGlucose.Rep1.rawCounts"
"03-Input-NoGlutamine-Rep1.raw_counts","TotalRNA.NoGlutamine.Rep1.rawCounts"
"04-Input-NoBCAA-Rep1.raw_counts","TotalRNA.NoBCAA.Rep1.rawCounts"
"05-Input-NoArginine-Rep1.raw_counts","TotalRNA.NoArginine.Rep1.rawCounts"
"06-Input-NoMethionine-Rep1.raw_counts","TotalRNA.NoMethionine.Rep1.rawCounts"
"07-Input-Control-Rep2.raw_counts","TotalRNA.Control.Rep2.rawCounts"
"08-Input-NoGlucose-Rep2.raw_counts","TotalRNA.NoGlucose.Rep2.rawCounts"
"09-Input-NoGlutamine-Rep2.raw_counts","TotalRNA.NoGlutamine.Rep2.rawCounts"
"10-Input-NoBCAA-Rep2.raw_counts","TotalRNA.NoBCAA.Rep2.rawCounts"
"11-Input-NoArginine-Rep2.raw_counts","TotalRNA.NoArginine.Rep2.rawCounts"
"12-Input-NoMethionine-Rep2.raw_counts","TotalRNA.NoMethionine.Rep2.rawCounts"
