Name,NoGlucose.TotalRNA.Log2FC,NoGlucose.TotalRNA.AdjPval,NoGlucose.PolyRNA.Log2FC,NoGlucose.PolyRNA.AdjPval,NoGlucose.TotalRNA.meanNormCounts,NoGlucose.PolyRNA.meanNormCounts,NoGlutamine.TotalRNA.Log2FC,NoGlutamine.TotalRNA.AdjPval,NoGlutamine.PolyRNA.Log2FC,NoGlutamine.PolyRNA.AdjPval,NoGlutamine.TotalRNA.meanNormCounts,NoGlutamine.PolyRNA.meanNormCounts,NoBCAA.TotalRNA.Log2FC,NoBCAA.TotalRNA.AdjPval,NoBCAA.PolyRNA.Log2FC,NoBCAA.PolyRNA.AdjPval,NoBCAA.TotalRNA.meanNormCounts,NoBCAA.PolyRNA.meanNormCounts,NoArginine.TotalRNA.Log2FC,NoArginine.TotalRNA.AdjPval,NoArginine.PolyRNA.Log2FC,NoArginine.PolyRNA.AdjPval,NoArginine.TotalRNA.meanNormCounts,NoArginine.PolyRNA.meanNormCounts,NoMethionine.TotalRNA.Log2FC,NoMethionine.TotalRNA.AdjPval,NoMethionine.PolyRNA.Log2FC,NoMethionine.PolyRNA.AdjPval,NoMethionine.TotalRNA.meanNormCounts,NoMethionine.PolyRNA.meanNormCounts,Control.TotalRNA.meanNormCounts,Control.PolyRNA.meanNormCounts
Rnf17,1.01949815276525,0.0286756962116823,1.24222277180435,0.00158829424294259,-0.243109256406142,-0.6831386472614693,0.23776188488691,0.684129091792499,1.38900018317368,3.6304214191927e-4,-0.918027220085984,-0.650354667532726,0.905767982912621,0.0648082896941318,1.22345876289565,0.00204307986862846,-0.3907535114213492,-0.7939785113255506,0.0509196994972072,0.959833018304166,0.709087231695945,0.0832507375788699,-1.0747558521178155,-1.2023693290132373,0.598775457859261,0.245413190796702,1.3358715289487,5.5053061016268e-4,-0.6484529863743349,-0.669278087696817,-1.1075799889059819,-1.8051699177282299
Abhd15,-1.14703785553815,0.00109603866524509,-1.02720767922017,2.406977572202e-4,-0.1844019321689595,0.417495347046089,-0.881184083596377,0.00722541963465035,-0.982261973288237,2.568923565371e-4,0.07903578846386262,0.381859508017641,-0.763492266938774,0.020517966216567,-1.0411530101627,2.4325679054372e-4,0.153649874723798,0.2994557216826803,-0.351290308142435,0.404583811990949,-0.532006551451882,0.0338568198422263,0.531562161205655,0.7871191572267493,-1.06604687830248,0.00229682115738057,-0.617704617220374,0.00917174843300984,-0.06637265623369945,0.7043932608956136,0.8701729632379204,1.3861547503292166
Bbc3,1.0079892196758,1.15553495616034e-5,0.68689705765946,0.0119224037620682,3.4484120514017267,3.0274306736820833,1.4788550637032,3.15121797148015e-8,1.18287787921114,7.54706404908596e-5,3.934812887719597,3.452203070750213,1.00005649051757,1.6377390121511e-5,0.820910778118943,0.00366523439041897,3.43758041708873,2.988779099031153,0.807998325584111,0.00147206681821629,0.288286006716708,0.332897949564413,3.2558903501185,2.601045769512287,0.954206974823657,2.61997420360701e-5,0.382173332436288,0.142289586398643,3.4570430566214765,2.641450104437897,2.4907737927318565,2.313792707508913
Tchp,1.2222570581742,2.00838505401375e-6,1.59951773200662,5.6979875528924195e-11,3.6409708425234535,4.036216378294147,0.984965230257821,2.97009902431653e-5,1.56726041697794,2.7749785566298697e-11,3.421512704356063,3.91635760202785,0.989124850271826,4.22181307855529e-5,1.17413162808258,4.762146830724181e-9,3.4197721164470933,3.5110512072755102,0.499999506653704,0.0592727099361332,0.610001876445246,9.14901220536244e-5,2.93043424853259,2.9987304605015668,0.942311679775293,6.64699686374101e-5,1.37846000545091,1.77645221410951e-10,3.4319831268532868,3.712174635853083,2.4460266924106366,2.4273692350853433
Akap8l,1.20534704887614,5.80211857532945e-9,1.80434892322426,1.24393155168253e-10,5.399956352340373,6.102707054144867,1.06060659199546,2.14968416114723e-8,1.65473953136029,1.86728522959249e-10,5.283579420791661,5.8678330690842735,0.792502916118642,2.47928102939078e-6,1.67731865628057,3.33364893533262e-10,4.9961596679811064,5.876667343735019,0.279825078801955,0.095314958014693807,0.713791704993778,8.99238195286331e-5,4.478323554511613,4.953448715150237,0.468485117834408,9.9143933049313e-4,1.50344542989754,5.97516025339116e-10,4.735673500815573,5.7027741734331965,4.233138277746237,4.277225403166927
Apoe,-1.62654969022776,2.70133093870072e-5,-1.74355899105161,1.924188623038e-5,-0.1894311601739305,-0.986446591515437,0.346120653555077,0.206075979708652,0.38856690666094,0.129379968717998,1.7445716003891767,0.9936606978122596,0.308743589386775,0.289018804368313,-0.0205865453997926,0.947654099176421,1.6422126612448902,0.516245592553323,8.7138500235359e-4,0.998601195040983,0.136256049280765,0.671551829097347,1.3966070122560568,0.795462465741643,0.326009278993922,0.244823439553801,0.128464748164297,0.633196689607432,1.7329231988457967,0.7380519316187863,1.4072028698751633,0.6809730411604077
Zfp959,1.10712439891057,8.048430344195891e-9,1.25807724303486,1.10047954400661e-8,3.8955398666056,3.9475082283451934,1.54490694581909,1.51622296680396e-11,1.68505312603006,8.514612630680709e-11,4.361020593910037,4.280975115997337,1.49938036088105,4.682195397057959e-11,1.36183781560342,4.43749867798122e-9,4.291987761847257,3.94225678923493,0.57393870567564,6.312802031766e-4,0.737035704060493,5.82296705329463e-5,3.3817347662399464,3.367691105569773,1.435503868377,1.1195337413215001e-10,1.13706394841501,2.11923610225807e-8,4.29532998609092,3.71648765860008,2.8405219701649935,2.67165462971034
Prodh,-1.08118427876836,0.0174429562751997,-0.213173954525438,0.45242027874892,-0.7722303927491493,-0.032312530178083325,-0.473640209163249,0.283051907559012,0.245977845542818,0.344235746430684,-0.17382950161153693,0.30452065493577474,-0.00221006059296649,0.997230898606664,0.13762812693276,0.634018148580856,0.24169462035273886,0.22848648445599232,-0.163986756474462,0.811631838787294,0.453296542139109,0.10033571600251,0.12779096651998145,0.5774300884217437,-0.291083645227082,0.527461303406259,0.513435259223122,0.0418171296662834,-0.013001726126633662,0.5899509350281656,0.29741489665316895,0.16792956272872464
Ier3,-1.55941168030418,1.3992928619908498e-11,-1.46768144699249,7.7161976887959e-10,4.754049543697233,4.9162944832082935,-2.34050174105052,1.71726153253895e-14,-2.17834764777081,1.83617721486076e-12,4.00710004748277,4.1076903568518794,-1.44049230446392,3.7812522743505295e-11,-1.38995225898745,1.61719081324103e-9,4.88167780496071,4.883609565743727,-0.820030549045263,2.15541225351267e-6,-0.858465097068443,6.04398572054838e-6,5.502472541584217,5.4691573248345335,-1.62154736802886,5.6010956443484795e-12,-1.8946085910616,1.2540094249985299e-11,4.76337598065736,4.38629471615337,6.353845265061756,6.361033341949736
Fosb,1.43782502420865,0.0138477019377756,1.51459366922703,2.3405931066473e-4,-0.249662093903438,0.058387930960209604,1.43064182787323,0.0150552808759907,2.12817915106003,1.45635794608083e-6,-0.21949045973547826,0.5647119075999844,1.36594338541211,0.024797866652121,1.40579323421629,6.143390401885e-4,-0.4474016431143107,-0.1590900528911989,0.999634929528043,0.213964658743047,0.471811931953588,0.281665590224299,-0.6322274974252463,-0.9978212314268846,1.96023719646347,9.751860351359e-4,2.24978001978081,5.41748042031688e-7,0.24498832385630473,0.6515585844213286,-1.5115030594803534,-1.4581745653247613
